id,name,bias,is_cross,category,pox_x,pos_y
0,Porta,0,1,#,12,80
1,#1,0,1,#,25,80
2,Unique,0,0,Fashion,25,70
3,Lojas Brasil,0,0,Market,25,50
4,#2,0,1,#,25,25
5,#3,0,1,#,55,25
6,Cacau Show,0,0,Food,55,40
7,Samsung,0,0,Tech,60,40
8,#4,0,1,#,60,50
9,JBL,0,0,Tech,90,50
10,Huawei,0,0,Tech,110,50
11,TPLINK,0,0,Tech,125,50
12,#5,0,1,#,135,50
13,Cinema,0,0,Entertainment,135,30
14,#6,0,1,#,135,20
15,Kei,0,0,Market,145,20
16,OnePlus,0,0,Tech,155,20
17,Galego Do Peixe,0,0,Food,165,20
18,Steak House,0,0,Food,165,40
19,BK,0,0,Food,165,55
20,Mc Donalds,0,0,Food,165,65
21,#7,0,1,#,165,85
22,#8,0,1,#,135,85
23,POP,0,0,Food,135,90
24,Honda,0,0,Automotive,135,100
25,#9,0,1,#,145,100
26,Cooler Master,0,0,Tech,145,105
27,Jesus High Tech,0,0,Tech,145,120
28,Estrijoias,0,0,Fashion,155,120
29,Americanas,0,0,Market,155,145
30,Magazine Luiza,0,0,Market,125,145
31,Joalheira Pérola,0,0,Fashion,110,145
32,ItatechJr,0,0,Tech,90,145
33,Riot Games,0,0,Games,80,145
34,My Drunks,0,0,Drink,60,145
35,Golden Fitness,0,0,Fit,50,145
36,#10,0,1,#,50,135
37,#11,0,1,#,50,120
38,#12,0,1,#,35,110
39,Hoyoverse,0,0,Games,35,90
40,Asus,0,0,Tech,35,80
41,#13,0,1,#,35,60
42,Evolution,0,0,Fit,40,60
43,Motorola,0,0,Tech,55,60
44,#14,0,1,#,55,50
45,#15,0,1,#,35,50
46,Renner,0,0,Fashion,80,135
47,Riachuelo,0,0,Fashion,90,135
48,#16,0,1,#,145,135
49,Apple,0,0,Tech,25,90
50,Sky,0,0,Tech,25,105
51,Logitech,0,0,Tech,25,110
52,Musicyan,0,0,Music,25,120
53,Xiaomi,0,0,Tech,85,60
54,Conecta Imports,0,0,Tech,95,60
55,LG,0,0,Tech,105,60
56,Pingo de Ouro,0,0,Fashion,115,60
57,Yamaha,0,0,Automotive,125,60
58,#17,0,1,#,135,60
59,#18,0,1,#,135,65
60,#19,0,1,#,135,75
